Campaign,Ad group,Match type,Keyword,Final URL,UTM campaign,UTM content,Intent tier,Notes
SK | Search | Seller Audit | Bratislava | 20 lead sprint,Predaj bytu Bratislava,Exact,[predaj bytu bratislava],https://jakubolsa.sk/predaj-bytu-bratislava/?utm_source=google&utm_medium=cpc&utm_campaign=seller_audit_ba_search&utm_content=predaj_bytu_ba_exact&utm_term={keyword},seller_audit_ba_search,predaj_bytu_ba_exact,Hot,Core seller intent
SK | Search | Seller Audit | Bratislava | 20 lead sprint,Predaj bytu Bratislava,Phrase,"predaj bytu bratislava",https://jakubolsa.sk/predaj-bytu-bratislava/?utm_source=google&utm_medium=cpc&utm_campaign=seller_audit_ba_search&utm_content=predaj_bytu_ba_phrase&utm_term={keyword},seller_audit_ba_search,predaj_bytu_ba_phrase,Hot,Monitor search terms daily
SK | Search | Seller Audit | Bratislava | 20 lead sprint,Predat byt Bratislava,Exact,[predat byt bratislava],https://jakubolsa.sk/predaj-bytu-bratislava/?utm_source=google&utm_medium=cpc&utm_campaign=seller_audit_ba_search&utm_content=predat_byt_ba_exact&utm_term={keyword},seller_audit_ba_search,predat_byt_ba_exact,Hot,No diacritics variant
SK | Search | Seller Audit | Bratislava | 20 lead sprint,Predat byt Bratislava,Phrase,"predat byt bratislava",https://jakubolsa.sk/predaj-bytu-bratislava/?utm_source=google&utm_medium=cpc&utm_campaign=seller_audit_ba_search&utm_content=predat_byt_ba_phrase&utm_term={keyword},seller_audit_ba_search,predat_byt_ba_phrase,Hot,No diacritics variant
SK | Search | Seller Audit | Bratislava | 20 lead sprint,Odhad ceny bytu,Exact,[odhad ceny bytu bratislava],https://jakubolsa.sk/predaj-bytu-bratislava/?utm_source=google&utm_medium=cpc&utm_campaign=seller_audit_ba_search&utm_content=odhad_ceny_bytu_exact&utm_term={keyword},seller_audit_ba_search,odhad_ceny_bytu_exact,Hot,Valuation intent; landing page is audit not instant estimator
SK | Search | Seller Audit | Bratislava | 20 lead sprint,Odhad ceny bytu,Phrase,"odhad ceny bytu bratislava",https://jakubolsa.sk/predaj-bytu-bratislava/?utm_source=google&utm_medium=cpc&utm_campaign=seller_audit_ba_search&utm_content=odhad_ceny_bytu_phrase&utm_term={keyword},seller_audit_ba_search,odhad_ceny_bytu_phrase,Hot,Watch for low-value calculator queries
SK | Search | Seller Audit | Bratislava | 20 lead sprint,Realitny makler predaj,Exact,[realitny makler predaj bytu bratislava],https://jakubolsa.sk/predaj-bytu-bratislava/?utm_source=google&utm_medium=cpc&utm_campaign=seller_audit_ba_search&utm_content=makler_predaj_bytu_exact&utm_term={keyword},seller_audit_ba_search,makler_predaj_bytu_exact,Warm,Comparing brokers
SK | Search | Seller Audit | Bratislava | 20 lead sprint,Realitny makler predaj,Phrase,"realitny makler predaj bytu bratislava",https://jakubolsa.sk/predaj-bytu-bratislava/?utm_source=google&utm_medium=cpc&utm_campaign=seller_audit_ba_search&utm_content=makler_predaj_bytu_phrase&utm_term={keyword},seller_audit_ba_search,makler_predaj_bytu_phrase,Warm,No diacritics variant
SK | Search | Seller Audit | Bratislava | 20 lead sprint,Predaj bez realitky,Exact,[predat byt bez realitky],https://jakubolsa.sk/predaj-bytu-bratislava/?utm_source=google&utm_medium=cpc&utm_campaign=seller_audit_ba_search&utm_content=bez_realitky_exact&utm_term={keyword},seller_audit_ba_search,bez_realitky_exact,Warm,Good for audit angle; avoid aggressive broker pitch
SK | Search | Seller Audit | Bratislava | 20 lead sprint,Predaj bez realitky,Phrase,"predat byt bez realitky",https://jakubolsa.sk/predaj-bytu-bratislava/?utm_source=google&utm_medium=cpc&utm_campaign=seller_audit_ba_search&utm_content=bez_realitky_phrase&utm_term={keyword},seller_audit_ba_search,bez_realitky_phrase,Warm,Monitor DIY/legal-only searches
SK | Search | Seller Audit | Bratislava | 20 lead sprint,Zdedeny byt,Exact,[predaj zdedeneho bytu],https://jakubolsa.sk/predaj-bytu-bratislava/?utm_source=google&utm_medium=cpc&utm_campaign=seller_audit_ba_search&utm_content=zdedeny_byt_exact&utm_term={keyword},seller_audit_ba_search,zdedeny_byt_exact,Warm,Needs future dedicated landing page
SK | Search | Seller Audit | Bratislava | 20 lead sprint,Zdedeny byt,Phrase,"predaj zdedeneho bytu",https://jakubolsa.sk/predaj-bytu-bratislava/?utm_source=google&utm_medium=cpc&utm_campaign=seller_audit_ba_search&utm_content=zdedeny_byt_phrase&utm_term={keyword},seller_audit_ba_search,zdedeny_byt_phrase,Warm,Route to seller page until inherited page exists
SK | Search | Seller Audit | Bratislava | 20 lead sprint,Rychly predaj bytu,Exact,[rychly predaj bytu bratislava],https://jakubolsa.sk/predaj-bytu-bratislava/?utm_source=google&utm_medium=cpc&utm_campaign=seller_audit_ba_search&utm_content=rychly_predaj_exact&utm_term={keyword},seller_audit_ba_search,rychly_predaj_exact,Warm,Watch for distressed/buyout intent
SK | Search | Seller Audit | Bratislava | 20 lead sprint,Rychly predaj bytu,Phrase,"rychly predaj bytu bratislava",https://jakubolsa.sk/predaj-bytu-bratislava/?utm_source=google&utm_medium=cpc&utm_campaign=seller_audit_ba_search&utm_content=rychly_predaj_phrase&utm_term={keyword},seller_audit_ba_search,rychly_predaj_phrase,Warm,No promise of guaranteed speed
SK | Search | Seller Audit | Bratislava | 20 lead sprint,Predaj domu BA,Exact,[predaj domu bratislava],https://jakubolsa.sk/predaj-bytu-bratislava/?utm_source=google&utm_medium=cpc&utm_campaign=seller_audit_ba_search&utm_content=predaj_domu_ba_exact&utm_term={keyword},seller_audit_ba_search,predaj_domu_ba_exact,Secondary,Use until /predaj-domu-bratislava exists
SK | Search | Seller Audit | Bratislava | 20 lead sprint,Predaj domu BA,Phrase,"predaj domu bratislava",https://jakubolsa.sk/predaj-bytu-bratislava/?utm_source=google&utm_medium=cpc&utm_campaign=seller_audit_ba_search&utm_content=predaj_domu_ba_phrase&utm_term={keyword},seller_audit_ba_search,predaj_domu_ba_phrase,Secondary,Lower initial budget
